idDocumentSentence1,idDocumentSentence2,cosine,sentence
5229389,5229362,0.865883,"A gente tem hoje, especificamente para o vidro, uma meta que segue o PLANARIS (Plano Nacional de Resíduos Sólidos)."
5229405,5229378,0.751585,"Ela preveu o encerramento dos lixões e o reaproveitamento de cerca de cinquenta por cento dos materiais em vinte anos."
5229382,5229355,0.7525,"Neste condomínio em Brasília, a separação do lixo já é feita há alguns anos, mas o trabalho de conscientização não é fácil."
5229398,5229371,0.651016,"Ficando atrás de outras categorias como papel, plástico e metal."
5229391,5229364,0.729526,"Uma das formas é a reciclagem, mas hoje apenas cerca de dois por cento dos resíduos das cidades passam por isso."
5229384,5229357,0.615727,"Em alguns casos, o destino do lixo são as cooperativas de catadores."
5229400,5229373,0.627294,"Sempre tendo que avisar aos moradores, passando, olhando, vendo se eles estão fazendo a separação correta do lixo."
5229393,5229366,0.997436,"Aqui, nós salvamos o mundo porque a gente cuida de pessoas, a gente cuida da saúde das pessoas,  cuida da saúde do meio ambiente."
5229386,5229359,0.694276,"A gente separa papéis, vidros, metais e plásticos."
5229402,5229375,0.883895,"Inclusive, o vidro é um dos produtos que é infinitamente reciclável e uma tonelada de vidro dá uma tonelada de embalagem nova."
5229395,5229368,0.467013,"Aí, na esteira, cada material vai para um ""bag"" diferente."
5229388,5229361,0.741021,"Em 2022, o país instituiu o sistema de logística reversa de embalagens de vidro."
5229404,5229377,0.937652,"E a nossa meta é que a gente chegue em quarenta por cento até dois mil e trinta e dois."
5229397,5229370,0.798656,"Então a gente tem hoje, o número que a gente estima é de um pouco mais de vinte e cinco por cento de reciclagem do vidro."
5229381,5229354,0.866497,"Pois é, agora esse cenário pode mudar, já que o país tem uma entidade que vai gerenciar."
5229390,5229363,0.543684,"A Política Nacional de Resíduos Sólidos de dois mil e dez apontou diretrizes para a melhoria da gestão do lixo:"
5229406,5229379,0.580608,"E ainda inclui pessoas no processo."
5229383,5229356,0.918425,"Aqui a gente tem um trabalho constante, pelo menos há três anos."
5229399,5229372,0.626388,"Que deve dar mais eficiência a logística reversa e a economia circular do vidro."
5229392,5229365,0.888641,"Medidas regulatórias, elas tendem a incentivar a reciclagem, né."
5229385,5229358,0.970506,"Chega aqui da forma que está aqui."
5229401,5229374,0.542443,"E as vezes dá um trabalho mesmo, porque a gente tem que fazer constantes avisos."
5229394,5229367,0.864714,"Aí entra  para onde as empilhadeiras estão levando, dali sobe e começa a triagem."
5229387,5229360,0.855898,"Vai mandar para a indústria, a indústria vai processar e vai fazer a embalagem."
5229403,5229376,0.773857,"Não se perde no processo."
5229380,5229353,0.431864,"Com um potencial de reciclagem muito alto, o vidro é um dos materiais secos menos recuperados no Brasil."
5229396,5229369,1,"No total, dá uns noventa tipos diferentes."
